circuit_family,qubit_count,repetition,ibm_target_model,quantinuum_target_model,metric,ibm_value,quantinuum_value,quantinuum_minus_ibm,percent_difference_vs_ibm
bell,2,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_ns,620.0,450.0,-170.0,-27.419354838709676
bell,2,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_us,0.62,0.45,-0.16999999999999998,-27.419354838709676
bell,2,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_success_probability_from_proxy_error_model,0.949845,0.973737,0.023891999999999913,2.515357768899127
bell,2,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,logical_depth,3.0,3.0,0.0,0.0
bell,2,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_compiled_depth,5.0,7.0,2.0,40.0
bell,2,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_entangling_gate_count,1.0,1.0,0.0,0.0
bell,2,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routed_depth,3.0,3.0,0.0,0.0
bell,2,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routing_swap_count,0.0,0.0,0.0,
bell,2,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_ns,620.0,450.0,-170.0,-27.419354838709676
bell,2,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_us,0.62,0.45,-0.16999999999999998,-27.419354838709676
bell,2,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_success_probability_from_proxy_error_model,0.949845,0.973737,0.023891999999999913,2.515357768899127
bell,2,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,logical_depth,3.0,3.0,0.0,0.0
bell,2,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_compiled_depth,5.0,7.0,2.0,40.0
bell,2,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_entangling_gate_count,1.0,1.0,0.0,0.0
bell,2,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routed_depth,3.0,3.0,0.0,0.0
bell,2,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routing_swap_count,0.0,0.0,0.0,
bell,2,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_ns,620.0,450.0,-170.0,-27.419354838709676
bell,2,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_us,0.62,0.45,-0.16999999999999998,-27.419354838709676
bell,2,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_success_probability_from_proxy_error_model,0.949845,0.973737,0.023891999999999913,2.515357768899127
bell,2,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,logical_depth,3.0,3.0,0.0,0.0
bell,2,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_compiled_depth,5.0,7.0,2.0,40.0
bell,2,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_entangling_gate_count,1.0,1.0,0.0,0.0
bell,2,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routed_depth,3.0,3.0,0.0,0.0
bell,2,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routing_swap_count,0.0,0.0,0.0,
ghz,3,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_ns,4040.0,770.0,-3270.0,-80.94059405940595
ghz,3,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_us,4.04,0.77,-3.27,-80.94059405940595
ghz,3,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_success_probability_from_proxy_error_model,0.833424,0.958221,0.12479699999999994,14.974010827621944
ghz,3,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,logical_depth,4.0,4.0,0.0,0.0
ghz,3,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_compiled_depth,16.0,9.0,-7.0,-43.75
ghz,3,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_entangling_gate_count,12.0,2.0,-10.0,-83.33333333333334
ghz,3,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routed_depth,8.0,4.0,-4.0,-50.0
ghz,3,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routing_swap_count,4.0,0.0,-4.0,-100.0
ghz,3,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_ns,4040.0,770.0,-3270.0,-80.94059405940595
ghz,3,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_us,4.04,0.77,-3.27,-80.94059405940595
ghz,3,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_success_probability_from_proxy_error_model,0.833424,0.958221,0.12479699999999994,14.974010827621944
ghz,3,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,logical_depth,4.0,4.0,0.0,0.0
ghz,3,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_compiled_depth,16.0,9.0,-7.0,-43.75
ghz,3,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_entangling_gate_count,12.0,2.0,-10.0,-83.33333333333334
ghz,3,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routed_depth,8.0,4.0,-4.0,-50.0
ghz,3,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routing_swap_count,4.0,0.0,-4.0,-100.0
ghz,3,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_ns,4040.0,770.0,-3270.0,-80.94059405940595
ghz,3,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_us,4.04,0.77,-3.27,-80.94059405940595
ghz,3,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_success_probability_from_proxy_error_model,0.833424,0.958221,0.12479699999999994,14.974010827621944
ghz,3,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,logical_depth,4.0,4.0,0.0,0.0
ghz,3,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_compiled_depth,16.0,9.0,-7.0,-43.75
ghz,3,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_entangling_gate_count,12.0,2.0,-10.0,-83.33333333333334
ghz,3,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routed_depth,8.0,4.0,-4.0,-50.0
ghz,3,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routing_swap_count,4.0,0.0,-4.0,-100.0
ghz,5,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_ns,10880.0,1410.0,-9470.0,-87.04044117647058
ghz,5,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_us,10.88,1.41,-9.47,-87.04044117647058
ghz,5,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_success_probability_from_proxy_error_model,0.641642,0.927926,0.286284,44.61740347421147
ghz,5,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,logical_depth,6.0,6.0,0.0,0.0
ghz,5,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_compiled_depth,38.0,13.0,-25.0,-65.78947368421053
ghz,5,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_entangling_gate_count,34.0,4.0,-30.0,-88.23529411764706
ghz,5,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routed_depth,18.0,6.0,-12.0,-66.66666666666666
ghz,5,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routing_swap_count,12.0,0.0,-12.0,-100.0
ghz,5,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_ns,10880.0,1410.0,-9470.0,-87.04044117647058
ghz,5,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_us,10.88,1.41,-9.47,-87.04044117647058
ghz,5,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_success_probability_from_proxy_error_model,0.641642,0.927926,0.286284,44.61740347421147
ghz,5,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,logical_depth,6.0,6.0,0.0,0.0
ghz,5,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_compiled_depth,38.0,13.0,-25.0,-65.78947368421053
ghz,5,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_entangling_gate_count,34.0,4.0,-30.0,-88.23529411764706
ghz,5,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routed_depth,18.0,6.0,-12.0,-66.66666666666666
ghz,5,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routing_swap_count,12.0,0.0,-12.0,-100.0
ghz,5,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_ns,10880.0,1410.0,-9470.0,-87.04044117647058
ghz,5,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_us,10.88,1.41,-9.47,-87.04044117647058
ghz,5,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_success_probability_from_proxy_error_model,0.641642,0.927926,0.286284,44.61740347421147
ghz,5,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,logical_depth,6.0,6.0,0.0,0.0
ghz,5,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_compiled_depth,38.0,13.0,-25.0,-65.78947368421053
ghz,5,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_entangling_gate_count,34.0,4.0,-30.0,-88.23529411764706
ghz,5,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routed_depth,18.0,6.0,-12.0,-66.66666666666666
ghz,5,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routing_swap_count,12.0,0.0,-12.0,-100.0
ghz,7,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_ns,17720.0,2050.0,-15670.0,-88.43115124153499
ghz,7,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_us,17.72,2.05,-15.669999999999998,-88.43115124153499
ghz,7,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_success_probability_from_proxy_error_model,0.493991,0.898589,0.40459799999999996,81.90392132650189
ghz,7,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,logical_depth,8.0,8.0,0.0,0.0
ghz,7,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_compiled_depth,60.0,17.0,-43.0,-71.66666666666667
ghz,7,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_entangling_gate_count,56.0,6.0,-50.0,-89.28571428571429
ghz,7,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routed_depth,28.0,8.0,-20.0,-71.42857142857143
ghz,7,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routing_swap_count,20.0,0.0,-20.0,-100.0
ghz,7,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_ns,17720.0,2050.0,-15670.0,-88.43115124153499
ghz,7,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_us,17.72,2.05,-15.669999999999998,-88.43115124153499
ghz,7,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_success_probability_from_proxy_error_model,0.493991,0.898589,0.40459799999999996,81.90392132650189
ghz,7,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,logical_depth,8.0,8.0,0.0,0.0
ghz,7,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_compiled_depth,60.0,17.0,-43.0,-71.66666666666667
ghz,7,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_entangling_gate_count,56.0,6.0,-50.0,-89.28571428571429
ghz,7,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routed_depth,28.0,8.0,-20.0,-71.42857142857143
ghz,7,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routing_swap_count,20.0,0.0,-20.0,-100.0
ghz,7,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_ns,17720.0,2050.0,-15670.0,-88.43115124153499
ghz,7,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_us,17.72,2.05,-15.669999999999998,-88.43115124153499
ghz,7,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_success_probability_from_proxy_error_model,0.493991,0.898589,0.40459799999999996,81.90392132650189
ghz,7,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,logical_depth,8.0,8.0,0.0,0.0
ghz,7,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_compiled_depth,60.0,17.0,-43.0,-71.66666666666667
ghz,7,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_entangling_gate_count,56.0,6.0,-50.0,-89.28571428571429
ghz,7,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routed_depth,28.0,8.0,-20.0,-71.42857142857143
ghz,7,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routing_swap_count,20.0,0.0,-20.0,-100.0
grover,2,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_ns,1160.0,720.0,-440.0,-37.93103448275862
grover,2,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_us,1.16,0.72,-0.43999999999999995,-37.93103448275862
grover,2,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_success_probability_from_proxy_error_model,0.937529,0.967416,0.029887000000000108,3.187848055900149
grover,2,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,logical_depth,8.0,8.0,0.0,0.0
grover,2,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_compiled_depth,12.0,10.0,-2.0,-16.666666666666664
grover,2,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_entangling_gate_count,2.0,2.0,0.0,0.0
grover,2,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routed_depth,8.0,8.0,0.0,0.0
grover,2,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routing_swap_count,0.0,0.0,0.0,
grover,2,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_ns,1160.0,720.0,-440.0,-37.93103448275862
grover,2,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_us,1.16,0.72,-0.43999999999999995,-37.93103448275862
grover,2,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_success_probability_from_proxy_error_model,0.937529,0.967416,0.029887000000000108,3.187848055900149
grover,2,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,logical_depth,8.0,8.0,0.0,0.0
grover,2,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_compiled_depth,12.0,10.0,-2.0,-16.666666666666664
grover,2,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_entangling_gate_count,2.0,2.0,0.0,0.0
grover,2,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routed_depth,8.0,8.0,0.0,0.0
grover,2,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routing_swap_count,0.0,0.0,0.0,
grover,2,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_ns,1160.0,720.0,-440.0,-37.93103448275862
grover,2,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_us,1.16,0.72,-0.43999999999999995,-37.93103448275862
grover,2,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_success_probability_from_proxy_error_model,0.937529,0.967416,0.029887000000000108,3.187848055900149
grover,2,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,logical_depth,8.0,8.0,0.0,0.0
grover,2,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_compiled_depth,12.0,10.0,-2.0,-16.666666666666664
grover,2,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_entangling_gate_count,2.0,2.0,0.0,0.0
grover,2,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routed_depth,8.0,8.0,0.0,0.0
grover,2,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routing_swap_count,0.0,0.0,0.0,
qft,3,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_ns,8700.0,1530.0,-7170.0,-82.41379310344827
qft,3,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_us,8.7,1.53,-7.169999999999999,-82.41379310344827
qft,3,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_success_probability_from_proxy_error_model,0.71536,0.937323,0.22196300000000002,31.028153656900027
qft,3,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,logical_depth,7.0,7.0,0.0,0.0
qft,3,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_compiled_depth,42.0,21.0,-21.0,-50.0
qft,3,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_entangling_gate_count,27.0,6.0,-21.0,-77.77777777777779
qft,3,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routed_depth,14.0,7.0,-7.0,-50.0
qft,3,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routing_swap_count,6.0,0.0,-6.0,-100.0
qft,3,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_ns,8700.0,1530.0,-7170.0,-82.41379310344827
qft,3,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_us,8.7,1.53,-7.169999999999999,-82.41379310344827
qft,3,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_success_probability_from_proxy_error_model,0.71536,0.937323,0.22196300000000002,31.028153656900027
qft,3,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,logical_depth,7.0,7.0,0.0,0.0
qft,3,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_compiled_depth,42.0,21.0,-21.0,-50.0
qft,3,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_entangling_gate_count,27.0,6.0,-21.0,-77.77777777777779
qft,3,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routed_depth,14.0,7.0,-7.0,-50.0
qft,3,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routing_swap_count,6.0,0.0,-6.0,-100.0
qft,3,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_ns,8700.0,1530.0,-7170.0,-82.41379310344827
qft,3,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_us,8.7,1.53,-7.169999999999999,-82.41379310344827
qft,3,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_success_probability_from_proxy_error_model,0.71536,0.937323,0.22196300000000002,31.028153656900027
qft,3,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,logical_depth,7.0,7.0,0.0,0.0
qft,3,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_compiled_depth,42.0,21.0,-21.0,-50.0
qft,3,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_entangling_gate_count,27.0,6.0,-21.0,-77.77777777777779
qft,3,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routed_depth,14.0,7.0,-7.0,-50.0
qft,3,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routing_swap_count,6.0,0.0,-6.0,-100.0
qft,5,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_ns,35800.0,3530.0,-32270.0,-90.13966480446928
qft,5,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_us,35.8,3.53,-32.269999999999996,-90.13966480446926
qft,5,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_success_probability_from_proxy_error_model,0.280311,0.870268,0.5899570000000001,210.4651619094506
qft,5,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,logical_depth,11.0,11.0,0.0,0.0
qft,5,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_compiled_depth,106.0,29.0,-77.0,-72.64150943396226
qft,5,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_entangling_gate_count,116.0,16.0,-100.0,-86.20689655172413
qft,5,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routed_depth,33.0,11.0,-22.0,-66.66666666666666
qft,5,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routing_swap_count,30.0,0.0,-30.0,-100.0
qft,5,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_ns,35800.0,3530.0,-32270.0,-90.13966480446928
qft,5,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_us,35.8,3.53,-32.269999999999996,-90.13966480446926
qft,5,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_success_probability_from_proxy_error_model,0.280311,0.870268,0.5899570000000001,210.4651619094506
qft,5,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,logical_depth,11.0,11.0,0.0,0.0
qft,5,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_compiled_depth,106.0,29.0,-77.0,-72.64150943396226
qft,5,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_entangling_gate_count,116.0,16.0,-100.0,-86.20689655172413
qft,5,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routed_depth,33.0,11.0,-22.0,-66.66666666666666
qft,5,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routing_swap_count,30.0,0.0,-30.0,-100.0
qft,5,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_ns,35800.0,3530.0,-32270.0,-90.13966480446928
qft,5,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_us,35.8,3.53,-32.269999999999996,-90.13966480446926
qft,5,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_success_probability_from_proxy_error_model,0.280311,0.870268,0.5899570000000001,210.4651619094506
qft,5,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,logical_depth,11.0,11.0,0.0,0.0
qft,5,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_compiled_depth,106.0,29.0,-77.0,-72.64150943396226
qft,5,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_entangling_gate_count,116.0,16.0,-100.0,-86.20689655172413
qft,5,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routed_depth,33.0,11.0,-22.0,-66.66666666666666
qft,5,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routing_swap_count,30.0,0.0,-30.0,-100.0
